producer_nic,producer_industry,byproduct_name,byproduct_type,waste_ratio_pct,qty_per_100_tons_input_estimated,unit,receiver_nic,receiver_industry,use_case,source_citation
10,Food Processing (Rice Milling),Rice Husk,Solid Biomass,20.0,20.0,tonnes/100 tonnes paddy input,23,Non-Metallic Minerals (Brick Manufacturing),Fuel for brick kiln firing; ash used as filler / pozzolan in brick mix,IRRI Rice Knowledge Bank — Milling & Processing; GIZ Clean Brick Kiln Sector Report
10,Food Processing (Rice Milling),Rice Husk,Solid Biomass,20.0,20.0,tonnes/100 tonnes paddy input,16,Wood Products & Sawmilling,Biomass briquette co-feedstock blended with sawdust; boiler fuel for timber drying kilns,IRRI Rice Knowledge Bank; Ellen MacArthur Foundation — Industrial Symbiosis Toolkit
10,Food Processing (Rice Milling),Rice Bran,Organic Co-product,10.0,10.0,tonnes/100 tonnes paddy input,10,Food Processing (Edible Oil / Animal Feed),Rice bran oil extraction feedstock; residual defatted bran as livestock feed supplement,IRRI Rice Knowledge Bank — Milling & Processing; FAO Agro-industrial Utilization of Paddy
13,Textiles (Weaving / Garment),Fabric Cutting Waste,Solid Fibre Waste,15.0,15.0,tonnes/100 tonnes fabric input,13,Textiles (Recycled Fibre / Shoddy Production),Shredded and re-spun as recycled yarn (shoddy/mungo process); insulation batting,Ellen MacArthur Foundation — A New Textiles Economy (2017); FAO Bulletin 136
13,Textiles (Silk Reeling),Silk Noil / Reeling Waste,Organic Fibre Waste,25.0,25.0,tonnes/100 tonnes cocoon input,13,Textiles (Spun Silk / Schappe Yarn Production),Spun silk yarn feedstock (schappe/bourette process); lower-grade textile input,"FAO Agricultural Services Bulletin 136 — Silk Reeling and Testing Manual, Ch. 10"
13,Textiles (Silk Reeling),Silkworm Pupae (post-reeling),Organic Biomass,5.0,5.0,tonnes/100 tonnes cocoon input,10,Food Processing (Animal Feed / Aquaculture),High-protein feed for poultry and fish; dried pupae for fishmeal supplement,"FAO Agricultural Services Bulletin 136 — Silk Reeling and Testing Manual, Ch. 10"
16,Wood Products & Sawmilling,Sawdust,Solid Biomass,25.0,25.0,tonnes/100 tonnes log input,23,Non-Metallic Minerals (Brick Manufacturing),Pore-forming agent mixed into green brick body; combustion creates lightweight / porous brick,IEDC Dataset 412 / Broman & Fredriksson (2015); GIZ Clean Brick Kiln Report
16,Wood Products & Sawmilling,Wood Bark,Solid Biomass,12.0,12.0,tonnes/100 tonnes log input,10,Food Processing (Boiler / Heat Generation),"Biomass boiler fuel for steam generation in food processing facilities (drying, sterilisation)",IEDC Dataset 412 / Broman & Fredriksson (2015); Ellen MacArthur Foundation Biomass Loops
16,Wood Products & Sawmilling,Wood Offcuts & Slabs,Solid Wood Residue,24.0,24.0,tonnes/100 tonnes log input,16,Wood Products (Particle Board / MDF Manufacturing),Chipped and pressed as particle board or MDF core material,IEDC Dataset 412 / Broman & Fredriksson (2015)
23,Non-Metallic Minerals (Brick Manufacturing),Broken / Rejected Bricks (Grog),Solid Ceramic Waste,7.0,7.0,tonnes/100 tonnes kiln-fired output,23,Non-Metallic Minerals (Ceramics / Refractories),Crushed grog as chamotte aggregate in ceramic body or refractory mix; road sub-base material,"GIZ Clean Brick Kiln Sector Report; Construction & Building Materials, Elsevier DOI:10.1016/j.conbuildmat.2014.07.037"
23,Non-Metallic Minerals (Brick Manufacturing),Kiln Fly Ash,Mineral Ash,3.0,3.0,tonnes/100 tonnes kiln-fired output,23,Non-Metallic Minerals (Cement / Pozzolanic Products),Supplementary cementitious material (SCM); partial Portland cement replacement,"GIZ Clean Brick Kiln Sector Report; IS 3812 (Pulverised Fuel Ash Specification, BIS India)"
25,Fabricated Metal Products,Sheet Metal Scrap,Ferrous Metal Scrap,22.0,22.0,tonnes/100 tonnes sheet metal input,25,Fabricated Metal (Secondary Steelmaking / Foundry),Direct re-melt feedstock in electric arc furnace (EAF) or induction furnace for secondary steel,"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A, DOI:10.1098/rsta.2023.0135"
25,Fabricated Metal Products,Machining Swarf / Turnings,Ferrous Metal Swarf,12.0,12.0,tonnes/100 tonnes bar stock input,25,Fabricated Metal (Scrap Trading / Remelting),Briquetted swarf or loose turnings sold to scrap dealers / foundries for remelting,"IEDC Dataset 439 / Allwood & Music (2024), Phil. Trans. Royal Society A, DOI:10.1098/rsta.2023.0135"
25,Fabricated Metal Products,Mill Scale,Iron Oxide Scale,10.0,10.0,tonnes/100 tonnes hot-rolled input,23,Non-Metallic Minerals (Pigment / Cement Additive),Iron oxide pigment feedstock for construction products; cement colour additive; anti-corrosive primer,IEDC Dataset 439 / Allwood & Music (2024); Journal of Cleaner Production (Elsevier)
